,TAXON,SECTION,SECTION.EDITED,SUBGENUS,editDateALH
Carex_fretalis|NZ|NCBI_AUTHOR_Gardner_326,Carex_fretalis,Echinochlaenae,Echinochlaenae,Carex,
Carex_pleiostachys||spm00004408,Carex_pleiostachys,Echinochlaenae,Echinochlaenae,Carex,
Carex_decurtata|NZS|spm00004414,Carex_decurtata,Echinochlaenae,Echinochlaenae,Carex,
Carex_albula|NZ|NCBI_AUTHOR_Gardner_304,Carex_albula,Echinochlaenae,Echinochlaenae,Carex,
Carex_ventosa|NZ|NCBI_AUTHOR_Gardner_312,Carex_ventosa,Echinochlaenae,Echinochlaenae,Carex,
Carex_trifida|NZ|NCBI_AUTHOR_Gardner_292,Carex_trifida,Paludosae,Paludosae,Carex,
Carex_spinirostris|NZ|NCBI_AUTHOR_Gardner_323,Carex_spinirostris,Echinochlaenae,Echinochlaenae,Carex,
Carex_elingamita|NZ|NCBI_AUTHOR_Gardner_320,Carex_elingamita,Echinochlaenae,Echinochlaenae,Carex,
Carex_libera|NZ|NCBI_AUTHOR_Gardner_329,Carex_libera,Echinochlaenae,Echinochlaenae,Carex,
Carex_petriei|NZ|NCBI_AUTHOR_Gardner_315,Carex_petriei,Echinochlaenae,Echinochlaenae,Carex,
Carex_blakei|NSW|spm00002887,Carex_blakei,Spirostachyae,Spirostachyae,Carex,
Carex_inopinata|NZ|NCBI_AUTHOR_Gardner_285,Carex_inopinata,Echinochlaenae,Echinochlaenae,Carex,
Carex_idaea|KRI|spm00004380,Carex_idaea,Spirostachyae,Spirostachyae,Carex,
Carex_distans|GRC|spm00000844,Carex_distans,Spirostachyae,Spirostachyae,Carex,
Carex_troodi|CYP|spm00004356,Carex_troodi,Spirostachyae,Spirostachyae,Carex,
Carex_diluta|TCS|spm00004364,Carex_diluta,Spirostachyae,Spirostachyae,Carex,
Carex_burchelliana|CPP|spm00004368,Carex_burchelliana,Spirostachyae,Spirostachyae,Carex,
Carex_lainzii|SPA|spm00004371,Carex_lainzii,Spirostachyae,Spirostachyae,Carex,
Carex_vixdentata|AGE|spm00002963,Carex_vixdentata,Spirostachyae,Spirostachyae,Carex,
Carex_extensa|VRG|spm00001853,Carex_extensa,Spirostachyae,Spirostachyae,Carex,
Carex_ecklonii|CPP|spm00004378,Carex_ecklonii,Spirostachyae,Spirostachyae,Carex,
Carex_petitiana_ssp_petitiana|KEN|spm00002867,Carex_petitiana_ssp_petitiana,NA,Spirostachyae,Carex,
Carex_vallisrosetto|TAN|spm00004376,Carex_vallisrosetto,NA,Spirostachyae,Carex,
Carex_mannii_ssp_friesiorum|KEN|spm00004355,Carex_mannii_ssp_friesiorum,NA,Spirostachyae,Carex,
Carex_mildbraediana|BUR|spm00004361,Carex_mildbraediana,Spirostachyae,Spirostachyae,Carex,
Carex_mannii_ssp_mannii|GGI|spm00002860,Carex_mannii_ssp_mannii,NA,Spirostachyae,Carex,
Carex_mannii_ssp_thomasii|ETH|spm00004347,Carex_mannii_ssp_thomasii,NA,Spirostachyae,Carex,
Carex_greenwayi|TAN|spm00004344,Carex_greenwayi,Spirostachyae,Spirostachyae,Carex,
Carex_borbonica|REU|spm00004353,Carex_borbonica,Spirostachyae,Spirostachyae,Carex,
Carex_petitiana_ssp_attenuata|MLW|spm00004345,Carex_petitiana_ssp_attenuata,NA,Spirostachyae,Carex,
Carex_boryana|REU|spm00004377,Carex_boryana,Spirostachyae,Spirostachyae,Carex,
Carex_fischeri_ssp_fischeri|ETH|spm00004352,Carex_fischeri_ssp_fischeri,NA,Spirostachyae,Carex,
Carex_longipedunculata|KEN|spm00000167,Carex_longipedunculata,Spirostachyae,Spirostachyae,Carex,
Carex_fischeri_ssp_recedens|ZAI|spm00002855,Carex_fischeri_ssp_recedens,NA,Spirostachyae,Carex,
Carex_elgonensis|UGA|spm00000189,Carex_elgonensis,Spirostachyae,Spirostachyae,Carex,
Carex_simensis|UGA|spm00000233,Carex_simensis,Spirostachyae,Spirostachyae,Carex,
Carex_paulovargasii|MOR|spm00004349,Carex_paulovargasii,NA,Spirostachyae,Carex,
Carex_fissirostris|MOR|spm00004379,Carex_fissirostris,Spirostachyae,Spirostachyae,Carex,
Carex_binervis|FRA|spm00004357,Carex_binervis,Spirostachyae,Spirostachyae,Carex,
Carex_camposii|SPA|spm00004363,Carex_camposii,Spirostachyae,Spirostachyae,Carex,
Carex_laevigata|SPA|spm00002938,Carex_laevigata,Spirostachyae,Spirostachyae,Carex,
Carex_mairei|SPA|spm00004367,Carex_mairei,Spirostachyae,Spirostachyae,Carex,
Carex_cilicica_ssp_cilicica|TUR|spm00005683,Carex_cilicica_ssp_cilicica,NA,Spirostachyae,Carex,
Carex_cilicica_ssp_muratica|TUR|spm00005685,Carex_cilicica_ssp_muratica,NA,Spirostachyae,Carex,
Carex_hochstetteriana|AZO|NCBI_UPOS_3551,Carex_hochstetteriana,Spirostachyae,Spirostachyae,Carex,
Carex_perraudieriana|CNY|spm00004346,Carex_perraudieriana,Spirostachyae,Spirostachyae,Carex,
Carex_gunniana|TAS|spm00004360,Carex_gunniana,Spirostachyae,Spirostachyae,Carex,
Carex_aethiopica|CPP|spm00004365,Carex_aethiopica,Spirostachyae,Spirostachyae,Carex,
Carex_clavata|CPP|spm00004348,Carex_clavata,Spirostachyae,Spirostachyae,Carex,
Carex_rhynchoperigynium|MXE|spm00000295,Carex_rhynchoperigynium,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_catharinensis|BZS|spm00004375,Carex_catharinensis,Spirostachyae,Spirostachyae,Carex,
Carex_thouarsii|TDC|spm00004351,Carex_thouarsii,Spirostachyae,Spirostachyae,Carex,
Carex_fuscula|CLC|spm00004370,Carex_fuscula,Spirostachyae,Spirostachyae,Carex,
Carex_punctata|GRB|NCBI_Smith_3418,Carex_punctata,Spirostachyae,Spirostachyae,Carex,
Carex_lowei|MDR|spm00002858,Carex_lowei,Spirostachyae,Spirostachyae,Carex,
Carex_helodes|POR|NCBI_Jose_2346,Carex_helodes,Spirostachyae,Spirostachyae,Carex,
Carex_hypaneura|RUS|spm00007853,Carex_hypaneura,Sylvaticae,Sylvaticae,Carex,
Carex_sylvatica|WAS|spm00001590,Carex_sylvatica,Sylvaticae,Sylvaticae,Carex,
Carex_cretica|KRI|spm00004382,Carex_cretica,Sylvaticae,Sylvaticae,Carex,
Carex_paui|ITA|spm00007852,Carex_paui,NA,Sylvaticae,Carex,
Carex_vulcani|AZO|spm00007856,Carex_vulcani,Sylvaticae,Sylvaticae,Carex,
Carex_rainbowii|NAT|NCBI_Martin_Bravo_2799,Carex_rainbowii,Sylvaticae,Sylvaticae,Carex,
Carex_flaviformis|NZ|spm00007227,Carex_flaviformis,Ceratocystis,Ceratocystis,Carex,
Carex_sagei|AGS|spm00000548,Carex_sagei,Ceratocystis,Ceratocystis,Carex,
Carex_demissa_ssp_iranica|IRN|spm00000598,Carex_demissa_ssp_iranica,NA,Ceratocystis,Carex,
Carex_derelicta|CZE|spm00003351,Carex_derelicta,Ceratocystis,Ceratocystis,Carex,
Carex_cryptolepis|ILL|spm00001730,Carex_cryptolepis,Ceratocystis,Ceratocystis,Carex,
Carex_larensis|VEN|spm00000601,Carex_larensis,Ceratocystis,Ceratocystis,Carex,
Carex_viridula|WAS|spm00004568,Carex_viridula,Ceratocystis,Ceratocystis,Carex,
Carex_demissa_ssp_cedercreutzii|AZO|NCBI_Hansen_1912,Carex_demissa_ssp_cedercreutzii,NA,Ceratocystis,Carex,
Carex_lepidocarpa_ssp_nevadensis|SPA|NCBI_Modesto_2872,Carex_lepidocarpa_ssp_nevadensis,NA,Ceratocystis,Carex,
Carex_demissa_ssp_demissa|NSC|spm00001948,Carex_demissa_ssp_demissa,NA,Ceratocystis,Carex,
Carex_lepidocarpa_ssp_jemtlandica|NOR|spm00003056,Carex_lepidocarpa_ssp_jemtlandica,NA,Ceratocystis,Carex,
Carex_lepidocarpa_ssp_lepidocarpa|SPA|spm00003215,Carex_lepidocarpa_ssp_lepidocarpa,NA,Ceratocystis,Carex,
Carex_flava|NFL|spm00001483,Carex_flava,Ceratocystis,Ceratocystis,Carex,
Carex_hostiana|GER|spm00003273,Carex_hostiana,Ceratocystis,Ceratocystis,Carex,
Carex_viridistellata||spm00002018,Carex_viridistellata,Ceratocystis,Ceratocystis,Carex,
Carex_lutea|NCA|spm00001765,Carex_lutea,Ceratocystis,Ceratocystis,Carex,
Carex_castroviejoi|GRC|NCBI_Vargas_3584,Carex_castroviejoi,Ceratocystis,Ceratocystis,Carex,
Carex_monotropa|NAT|spm00000215,Carex_monotropa,Ceratocystis,Ceratocystis,Carex,
Carex_strigosa|AUT|spm00003302,Carex_strigosa,Sylvaticae,Sylvaticae,Carex,
Carex_triquetra|CAL|spm00001800,Carex_triquetra,Triquetrae,Triquetrae,Carex,
Carex_bequaertii_ssp_mossii|CPP|spm00007922,Carex_bequaertii_ssp_mossii,NA,Rhynchocystis,Carex,
Carex_bequaertii_ssp_bequaertii|KEN|spm00000176,Carex_bequaertii_ssp_bequaertii,NA,Rhynchocystis,Carex,
Carex_penduliformis|MDG|spm00007983,Carex_penduliformis,Rhynchocystis,Rhynchocystis,Carex,
Carex_microcarpa|COR|spm00007912,Carex_microcarpa,Rhynchocystis,Rhynchocystis,Carex,
Carex_agastachys|AUT|spm00001197,Carex_agastachys,NA,Rhynchocystis,Carex,
Carex_pendula|FRA|spm00007935,Carex_pendula,Rhynchocystis,Rhynchocystis,Carex,
Carex_carsei|NZ|NCBI_AUTHOR_Gardner_322,Carex_carsei,Rostrales,Rostrales,Carex,
Carex_michauxiana|MAN|spm00001748,Carex_michauxiana,Rostrales,Rostrales,Carex,
Carex_turgescens|MSI|spm00001442,Carex_turgescens,Rostrales,Rostrales,Carex,
Carex_folliculata|DEL|spm00000911,Carex_folliculata,Rostrales,Rostrales,Carex,
Carex_lonchocarpa|FLA|spm00000999,Carex_lonchocarpa,Rostrales,Rostrales,Carex,
Carex_stenantha_var_taisetsuensis|SAK|spm00006798,Carex_stenantha_var_taisetsuensis,NA,Aulocystis,Carex,
Carex_frigida|SPA|spm00000521,Carex_frigida,Aulocystis,Aulocystis,Carex,
Carex_capillaris_ssp_fuscidula|KRA|spm00005726,Carex_capillaris_ssp_fuscidula,NA,Chlorostachyae,Carex,
Carex_ledebouriana|MAG|spm00003592,Carex_ledebouriana,Chlorostachyae,Chlorostachyae,Carex,
Carex_delicata|TZK|spm00003358,Carex_delicata,Chlorostachyae,Chlorostachyae,Carex,
Carex_capillaris_ssp_capillaris|QUE|NCBI_Waterway_3679,Carex_capillaris_ssp_capillaris,NA,Chlorostachyae,Carex,
Carex_krausei|ASK|spm00001639,Carex_krausei,Chlorostachyae,Chlorostachyae,Carex,
Carex_sedakowii||spm00005844,Carex_sedakowii,Chlorostachyae,Chlorostachyae,Carex,
Carex_williamsii|YUK|spm00001969,Carex_williamsii,Chlorostachyae,Chlorostachyae,Carex,
Carex_esquiroliana|CHC|spm00005714,Carex_esquiroliana,Siderostictae,Siderostictae,Carex,
Carex_paeninsulae|FLA|spm00001445,Carex_paeninsulae,Griseae,Griseae,Carex,
Carex_thornei|FLA|spm00000659,Carex_thornei,Griseae,Griseae,Carex,
Carex_planispicata|MRY|spm00000666,Carex_planispicata,Griseae,Griseae,Carex,
Carex_calcifugens|FLA|spm00000668,Carex_calcifugens,Griseae,Griseae,Carex,
Carex_acidicola|ALA|spm00000658,Carex_acidicola,Griseae,Griseae,Carex,
Carex_bulbostylis|MSI|spm00000648,Carex_bulbostylis,Griseae,Griseae,Carex,
Carex_oligocarpa|ARK|spm00001532,Carex_oligocarpa,Griseae,Griseae,Carex,
Carex_edwardsiana|TEX|spm00002142,Carex_edwardsiana,Griseae,Griseae,Carex,
Carex_corrugata|ALA|spm00000670,Carex_corrugata,Griseae,Griseae,Carex,
Carex_godfreyi|ALA|spm00001787,Carex_godfreyi,Griseae,Griseae,Carex,
Carex_grisea|KTY|spm00000656,Carex_grisea,Griseae,Griseae,Carex,
Carex_amphibola|ALA|spm00000654,Carex_amphibola,Griseae,Griseae,Carex,
Carex_conoidea|DEL|spm00001428,Carex_conoidea,Griseae,Griseae,Carex,
Carex_austrocaroliniana|NCA|spm00001729,Carex_austrocaroliniana,Careyanae,Careyanae,Carex,
Carex_plantaginea|TEN|spm00001893,Carex_plantaginea,Careyanae,Careyanae,Carex,
Carex_platyphylla|MRY|spm00001152,Carex_platyphylla,Careyanae,Careyanae,Carex,
Carex_careyana|KTY|spm00001401,Carex_careyana,Careyanae,Careyanae,Carex,
Carex_asynchrona|MXE|spm00000257,Carex_asynchrona,Griseae,Griseae,Carex,
Carex_impressinervia|MSI|spm00001784,Carex_impressinervia,Griseae,Griseae,Carex,
Carex_ouachitana|WAS|spm00001538,Carex_ouachitana,Griseae,Griseae,Carex,
Carex_brysonii|ALA|spm00000655,Carex_brysonii,Griseae,Griseae,Carex,
Carex_hitchcockiana|KTY|spm00000657,Carex_hitchcockiana,Griseae,Griseae,Carex,
Carex_flaccosperma|LOU|spm00000671,Carex_flaccosperma,Griseae,Griseae,Carex,
Carex_pigra|MSI|spm00001785,Carex_pigra,Griseae,Griseae,Carex,
Carex_gholsonii|ALA|spm00000953,Carex_gholsonii,Granulares,Granulares,Carex,
Carex_glaucodea|INI|spm00001525,Carex_glaucodea,Griseae,Griseae,Carex,
Carex_atractodes|MXE|spm00000256,Carex_atractodes,Granulares,Granulares,Carex,
Carex_granularis|MAN|spm00001407,Carex_granularis,Granulares,Granulares,Carex,
Carex_microdonta|MSI|spm00001420,Carex_microdonta,Granulares,Granulares,Carex,
Carex_crawei|NFL|spm00001471,Carex_crawei,Granulares,Granulares,Carex,
Carex_laxiculmis_var_laxiculmis|PEN|spm00001403,Carex_laxiculmis_var_laxiculmis,NA,Careyanae,Carex,
Carex_digitalis|NWY|NCBI_Waterway_3702,Carex_digitalis,Careyanae,Careyanae,Carex,
Carex_cumberlandensis|ARK|spm00000817,Carex_cumberlandensis,Careyanae,Careyanae,Carex,
Carex_abscondita|MRY|spm00000676,Carex_abscondita,Careyanae,Careyanae,Carex,
Carex_collinsii|DEL|spm00000827,Carex_collinsii,Collinsiae,Collinsiae,Carex,
Carex_lemmonii|CAL|spm00001029,Carex_lemmonii,Aulocystis,Aulocystis,Carex,
Carex_albida|CAL|spm00003602,Carex_albida,Aulocystis,Aulocystis,Carex,
Carex_luzulina_var_luzulina|CAL|spm00001908,Carex_luzulina_var_luzulina,NA,Aulocystis,Carex,
Carex_luzulifolia|CAL|spm00001028,Carex_luzulifolia,Aulocystis,Aulocystis,Carex,
Carex_fissuricola|IDA|spm00002117,Carex_fissuricola,Aulocystis,Aulocystis,Carex,
Carex_durieui|SPA|spm00004386,Carex_durieui,Unplaced_coreCarex,Unplaced_coreCarex,Carex,
Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622,Carex_jacutica,Vesicariae,Vesicariae,Carex,
Carex_rotundata|MAN|spm00001749,Carex_rotundata,Vesicariae,Vesicariae,Carex,
Carex_mollissima||NCBI_AUTHOR_Shekhovtsov_618,Carex_mollissima,Vesicariae,Vesicariae,Carex,
Carex_utriculata|ASK|spm00001379,Carex_utriculata,Vesicariae,Vesicariae,Carex,
Carex_montiseeka|HAW|spm00004527,Carex_montiseeka,NA,Vesicariae,Carex,
Carex_schweinitzii|MIC|spm00001256,Carex_schweinitzii,Vesicariae,Vesicariae,Carex,
Carex_membranacea|ASK|spm00001050,Carex_membranacea,Vesicariae,Vesicariae,Carex,
Carex_rostrata|WAS|spm00001600,Carex_rostrata,Vesicariae,Vesicariae,Carex,
Carex_nakasimae|KOR|spm00000341,Carex_nakasimae,Unplaced_coreCarex,Unplaced_coreCarex,Carex,
Carex_vesicaria|DEL|spm00001360,Carex_vesicaria,Vesicariae,Vesicariae,Carex,
Carex_pamirensis_ssp_pamirensis|AFG|spm00003377,Carex_pamirensis_ssp_pamirensis,NA,Vesicariae,Carex,
Carex_saxatilis|UTA|spm00001223,Carex_saxatilis,Vesicariae,Vesicariae,Carex,
Carex_vesicata||NCBI_AUTHOR_Shekhovtsov_614,Carex_vesicata,Vesicariae,Vesicariae,Carex,
Carex_pamirensis_ssp_dichroa||NCBI_AUTHOR_Shekhovtsov_598,Carex_pamirensis_ssp_dichroa,NA,Vesicariae,Carex,
Carex_exsiccata|BRC|spm00001976,Carex_exsiccata,Vesicariae,Vesicariae,Carex,
Carex_tuckermanii|MIC|spm00001345,Carex_tuckermanii,Vesicariae,Vesicariae,Carex,
Carex_lasiocarpa_var_americana|ASK|spm00000997,Carex_lasiocarpa_var_americana,NA,Carex,Carex,
Carex_lasiocarpa_var_lasiocarpa|SPA|spm00000576,Carex_lasiocarpa_var_lasiocarpa,NA,Carex,Carex,
Carex_lasiocarpa_var_occultans|CHM|NCBI_Jung_2365,Carex_lasiocarpa_var_occultans,NA,Carex,Carex,
Carex_pellita|CAL|spm00001148,Carex_pellita,Paludosae,Paludosae,Carex,
Carex_aematorrhyncha|CLS|spm00000532,Carex_aematorrhyncha,Paludosae,Paludosae,Carex,
Carex_striata|FLA|spm00001274,Carex_striata,Paludosae,Paludosae,Carex,
Carex_rugulosa|KOR|spm00000348,Carex_rugulosa,Paludosae,Paludosae,Carex,
Carex_riparia|GRB|NCBI_Blackstock_SM00004,Carex_riparia,Paludosae,Paludosae,Carex,
Carex_hyalinolepis|TEX|spm00000956,Carex_hyalinolepis,Paludosae,Paludosae,Carex,
Carex_lacustris|MAN|spm00000991,Carex_lacustris,Paludosae,Paludosae,Carex,
Carex_melanostachya||spm00001550,Carex_melanostachya,Paludosae,Paludosae,Carex,
Carex_drymophila|JAP|NCBI_Waterway_3672,Carex_drymophila,Carex,Carex,Carex,
Carex_eriophylla|CHM|spm00003460,Carex_eriophylla,Carex,Carex,Carex,
Carex_sordida|CHM|spm00004515,Carex_sordida,Carex,Carex,Carex,
Carex_raddei|PRM|spm00004548,Carex_raddei,Carex,Carex,Carex,
Carex_atherodes|BRC|spm00001849,Carex_atherodes,Carex,Carex,Carex,
Carex_glabrescens|KOR|spm00000332,Carex_glabrescens,Carex,Carex,Carex,
Carex_trichocarpa|DEL|spm00001331,Carex_trichocarpa,Carex,Carex,Carex,
Carex_laeviconica|TEN|spm00001887,Carex_laeviconica,Carex,Carex,Carex,
Carex_sheldonii|CAL|spm00001693,Carex_sheldonii,Carex,Carex,Carex,
Carex_fedia|PAK|spm00005718,Carex_fedia,Carex,Carex,Carex,
Carex_songorica|TZK|spm00003384,Carex_songorica,Paludosae,Paludosae,Carex,
Carex_pumila|NCA|spm00002067,Carex_pumila,Paludosae,Paludosae,Carex,
Carex_gotoi|KOR|spm00000020,Carex_gotoi,Paludosae,Paludosae,Carex,
Carex_hirta|PEN|spm00000947,Carex_hirta,Carex,Carex,Carex,
Carex_houghtoniana|MAN|spm00001446,Carex_houghtoniana,Paludosae,Paludosae,Carex,
Carex_halliana|CAL|spm00001689,Carex_halliana,Paludosae,Paludosae,Carex,
Carex_oligosperma|NWH|spm00001112,Carex_oligosperma,Vesicariae,Vesicariae,Carex,
Carex_baileyi|KTY|spm00000751,Carex_baileyi,Vesicariae,Vesicariae,Carex,
Carex_lurida|FLA|spm00001082,Carex_lurida,Vesicariae,Vesicariae,Carex,
Carex_durangensis|MXE|spm00000272,Carex_durangensis,Vesicariae,Vesicariae,Carex,
Carex_phragmitoides|ETH|spm00000221,Carex_phragmitoides,Vesicariae,Vesicariae,Carex,
Carex_pseudocyperus|MIC|spm00001179,Carex_pseudocyperus,Vesicariae,Vesicariae,Carex,
Carex_obscuriceps|EHM|spm00005802,Carex_obscuriceps,Vesicariae,Vesicariae,Carex,
Carex_antoniensis|CVI|spm00002181,Carex_antoniensis,Vesicariae,Vesicariae,Carex,
Carex_comosa|CAL|spm00000826,Carex_comosa,Vesicariae,Vesicariae,Carex,
Carex_thurberi|ARI|spm00001816,Carex_thurberi,Vesicariae,Vesicariae,Carex,
Carex_polysticha|DOM|spm00000292,Carex_polysticha,Vesicariae,Vesicariae,Carex,
Carex_sphaerogyna|MDG|spm00000237,Carex_sphaerogyna,Vesicariae,Vesicariae,Carex,
Carex_cognata|MLW|spm00000181,Carex_cognata,NA,Vesicariae,Carex,
Carex_capricornis||NCBI_AUTHOR_Shekhovtsov_642,Carex_capricornis,Vesicariae,Vesicariae,Carex,
Carex_maorica|NZ|NCBI_AUTHOR_Gardner_289,Carex_maorica,Vesicariae,Vesicariae,Carex,
Carex_hystericina|ARK|spm00001081,Carex_hystericina,Vesicariae,Vesicariae,Carex,
Carex_insularis|TDC|spm00005756,Carex_insularis,Vesicariae,Vesicariae,Carex,
Carex_bullata|MAS|spm00000775,Carex_bullata,Vesicariae,Vesicariae,Carex,
Carex_lupuliformis|FLA|spm00001011,Carex_lupuliformis,Lupulinae,Lupulinae,Carex,
Carex_lupulina|MRY|spm00001078,Carex_lupulina,Lupulinae,Lupulinae,Carex,
Carex_louisianica|FLA|spm00001008,Carex_louisianica,Lupulinae,Lupulinae,Carex,
Carex_gigantea|FLA|spm00000917,Carex_gigantea,Lupulinae,Lupulinae,Carex,
Carex_retrorsa|MIC|spm00001210,Carex_retrorsa,Vesicariae,Vesicariae,Carex,
Carex_aureolensis|MSI|spm00000770,Carex_aureolensis,Squarrosae,Squarrosae,Carex,
Carex_frankii|ALA|spm00000939,Carex_frankii,Squarrosae,Squarrosae,Carex,
Carex_elliottii|FLA|spm00001916,Carex_elliottii,Vesicariae,Vesicariae,Carex,
Carex_intumescens|MAI|spm00000975,Carex_intumescens,Lupulinae,Lupulinae,Carex,
Carex_grayi|TEN|spm00000924,Carex_grayi,Lupulinae,Lupulinae,Carex,
Carex_inversonervosa|NWC|spm00002193,Carex_inversonervosa,Phacocystis,Phacocystis,Carex,
Carex_dimorpholepis|KOR|NCBI_Na_2916,Carex_dimorpholepis,Phacocystis,Phacocystis,Carex,
Carex_rhodesiaca||spm00004696,Carex_rhodesiaca,Phacocystis,Phacocystis,Carex,
Carex_suifunensis|KOR|spm00000350,Carex_suifunensis,Phacocystis,Phacocystis,Carex,
Carex_aequialta|KOR|spm00000320,Carex_aequialta,Phacocystis,Phacocystis,Carex,
Carex_phacota|KOR|spm00000344,Carex_phacota,Phacocystis,Phacocystis,Carex,
Carex_teres|CHC|spm00005860,Carex_teres,Phacocystis,Phacocystis,Carex,
Carex_cremostachys|CHC|spm00005696,Carex_cremostachys,Phacocystis,Phacocystis,Carex,
Carex_goligongshanensis|CHC|spm00005728,Carex_goligongshanensis,Phacocystis,Phacocystis,Carex,
Carex_pruinosa|VIE|spm00007890,Carex_pruinosa,Phacocystis,Phacocystis,Carex,
Carex_makuensis|CHC|spm00005775,Carex_makuensis,Phacocystis,Phacocystis,Carex,
Carex_jinfoshanensis|CHC|spm00005761,Carex_jinfoshanensis,Phacocystis,Phacocystis,Carex,
Carex_heterolepis|KOR|NCBI_Jung_2360,Carex_heterolepis,Phacocystis,Phacocystis,Carex,
Carex_forficula|KOR|NCBI_Na_2984,Carex_forficula,Phacocystis,Phacocystis,Carex,
Carex_longpanlaensis|CHC|spm00005774,Carex_longpanlaensis,Phacocystis,Phacocystis,Carex,
Carex_madagascariensis|MDG|spm00002210,Carex_madagascariensis,Phacocystis,Phacocystis,Carex,
Carex_baltzellii|FLA|spm00001914,Carex_baltzellii,Pictae,Pictae,Carex,
Carex_picta|GEO|spm00001159,Carex_picta,Pictae,Pictae,Carex,
Carex_erythrobasis|KOR|NCBI_Jung_2359,Carex_erythrobasis,Clandestinae,Clandestinae,Carex,
Carex_pedunculata|MAS|spm00001147,Carex_pedunculata,Clandestinae,Clandestinae,Carex,
Carex_yunnanensis|CHC|spm00005880,Carex_yunnanensis,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_fastigiata|CHC|spm00005716,Carex_fastigiata,Debiles,Debiles,Carex,
Carex_garberi|ASK|spm00001624,Carex_garberi,Bicolores,Bicolores,Carex,
Carex_bicolor|ASK|spm00001622,Carex_bicolor,Bicolores,Bicolores,Carex,
Carex_klamathensis|ORE|spm00002069,Carex_klamathensis,Paniceae,Paniceae,Carex,
Carex_aurea||spm00000767,Carex_aurea,Bicolores,Bicolores,Carex,
Carex_hassei|CAL|spm00001867,Carex_hassei,Bicolores,Bicolores,Carex,
Carex_livida|NWJ|spm00001410,Carex_livida,Paniceae,Paniceae,Carex,
Carex_tetanica|MAN|spm00001314,Carex_tetanica,Paniceae,Paniceae,Carex,
Carex_meadii|MAN|spm00001742,Carex_meadii,Paniceae,Paniceae,Carex,
Carex_brachycalama|BOL|spm00000368,Carex_brachycalama,Paniceae,Paniceae,Carex,
Carex_biltmoreana|NCA|spm00002068,Carex_biltmoreana,Paniceae,Paniceae,Carex,
Carex_woodii|IOW|spm00001790,Carex_woodii,Paniceae,Paniceae,Carex,
Carex_purpurifera|KTY|spm00001470,Carex_purpurifera,Laxiflorae,Laxiflorae,Carex,
Carex_ormostachya|MIC|spm00001134,Carex_ormostachya,Laxiflorae,Laxiflorae,Carex,
Carex_laxiflora|MIC|spm00001023,Carex_laxiflora,Laxiflorae,Laxiflorae,Carex,
Carex_striatula|DEL|spm00001264,Carex_striatula,Laxiflorae,Laxiflorae,Carex,
Carex_radfordii|SCA|spm00001438,Carex_radfordii,Laxiflorae,Laxiflorae,Carex,
Carex_gracilescens|KTY|spm00000927,Carex_gracilescens,NA,Laxiflorae,Carex,
Carex_kraliana|ARK|spm00000981,Carex_kraliana,Laxiflorae,Laxiflorae,Carex,
Carex_blanda|TEN|spm00001819,Carex_blanda,Laxiflorae,Laxiflorae,Carex,
Carex_styloflexa|GEO|spm00001299,Carex_styloflexa,Laxiflorae,Laxiflorae,Carex,
Carex_chapmanii|FLA|spm00000832,Carex_chapmanii,Laxiflorae,Laxiflorae,Carex,
Carex_crebriflora||spm00001043,Carex_crebriflora,Laxiflorae,Laxiflorae,Carex,
Carex_leptonervia|MAN|spm00001394,Carex_leptonervia,Laxiflorae,Laxiflorae,Carex,
Carex_albursina|KTY|spm00001384,Carex_albursina,Laxiflorae,Laxiflorae,Carex,
Carex_hendersonii|BRC|spm00001947,Carex_hendersonii,Laxiflorae,Laxiflorae,Carex,
Carex_manhartii|GEO|spm00001761,Carex_manhartii,Laxiflorae,Laxiflorae,Carex,
Carex_olbiensis|SPA|spm00000586,Carex_olbiensis,Paniceae,Paniceae,Carex,
Carex_jackiana_ssp_jackiana|EHM|spm00005760,Carex_jackiana_ssp_jackiana,NA,Paniceae,Carex,
Carex_jackiana_ssp_parciflora|JAP|NCBI_Waterway_3674,Carex_jackiana_ssp_parciflora,NA,Paniceae,Carex,
Carex_arisanensis|TAI|spm00006420,Carex_arisanensis,Paniceae,Paniceae,Carex,
Carex_filipes|JAP|NCBI_Waterway_3666,Carex_filipes,Paniceae,Paniceae,Carex,
Carex_papulosa|KOR|spm00000016,Carex_papulosa,Paniceae,Paniceae,Carex,
Carex_egena|KOR|spm00000329,Carex_egena,Paniceae,Paniceae,Carex,
Carex_laxa|ASK|spm00001643,Carex_laxa,Paniceae,Paniceae,Carex,
Carex_falcata|CHC|spm00005715,Carex_falcata,NA,Paniceae,Carex,
Carex_vaginata|YUK|spm00001974,Carex_vaginata,Paniceae,Paniceae,Carex,
Carex_panicea|MAI|spm00001906,Carex_panicea,Paniceae,Paniceae,Carex,
Carex_auriculata|KOR|spm00000345,Carex_auriculata,NA,Paniceae,Carex,
Carex_pilosa|YUG|spm00000563,Carex_pilosa,Paniceae,Paniceae,Carex,
Carex_pringlei|MXE|spm00000293,Carex_pringlei,Thuringiaca,Thuringiaca,Carex,
Carex_spissa|MXE|spm00000296,Carex_spissa,Thuringiaca,Thuringiaca,Carex,
